Tương_Tác_Quảng_Cáo,Ảnh_Hưởng_Mạng_Xã_Hội,Độ_Nhạy_Cảm_Giá,Sử_Dụng_Giảm_Giá,Ưu_Tiên_Vận_Chuyển,MarketingKey
Medium,High,Very Sensitive,True,No Preference,165
Low,High,Not Sensitive,True,Express,166
Low,Medium,Somewhat Sensitive,False,No Preference,167
Low,Low,Somewhat Sensitive,False,Standard,168
None,Medium,Somewhat Sensitive,False,No Preference,169
Medium,High,Not Sensitive,True,Express,170
High,Medium,Not Sensitive,True,Express,171
Medium,None,Very Sensitive,False,Standard,172
Medium,High,Somewhat Sensitive,True,Express,173
High,Low,Not Sensitive,False,Standard,174
High,Low,Not Sensitive,True,Standard,175
Medium,High,Somewhat Sensitive,True,No Preference,176
Medium,Medium,Not Sensitive,True,Express,177
High,None,Somewhat Sensitive,False,Standard,178
Medium,Low,Not Sensitive,True,Express,179
None,Low,Not Sensitive,False,No Preference,180
High,Low,Not Sensitive,False,No Preference,181
Medium,Low,Not Sensitive,False,No Preference,182
None,None,Very Sensitive,False,No Preference,183
None,Low,Somewhat Sensitive,True,Standard,184
None,High,Very Sensitive,True,Standard,185
High,Low,Somewhat Sensitive,True,Standard,186
Medium,High,Somewhat Sensitive,False,Standard,187
High,Low,Very Sensitive,False,Express,188
Medium,Medium,Not Sensitive,False,Standard,189
High,High,Not Sensitive,True,Express,190
None,Low,Very Sensitive,False,Express,191
Low,Medium,Not Sensitive,False,Standard,192
None,High,Not Sensitive,True,Standard,193
Medium,Low,Not Sensitive,False,Express,194
Low,None,Not Sensitive,True,Express,195
High,High,Very Sensitive,True,Express,196
None,Medium,Very Sensitive,True,Standard,197
None,None,Not Sensitive,False,Standard,198
Low,High,Somewhat Sensitive,False,Express,199
None,Low,Somewhat Sensitive,True,Express,200
None,Medium,Somewhat Sensitive,False,Express,201
Medium,Medium,Somewhat Sensitive,True,Standard,202
None,Medium,Somewhat Sensitive,False,Standard,203
Low,Low,Very Sensitive,True,Standard,204
Medium,High,Very Sensitive,False,Standard,205
Medium,None,Somewhat Sensitive,True,Standard,206
Low,High,Somewhat Sensitive,True,Standard,207
Low,Low,Not Sensitive,False,Standard,208
Medium,Low,Not Sensitive,True,Standard,209
Low,Medium,Not Sensitive,False,Express,210
Medium,High,Not Sensitive,False,No Preference,211
High,Medium,Very Sensitive,True,Standard,212
Low,Medium,Somewhat Sensitive,True,No Preference,213
Medium,None,Very Sensitive,False,No Preference,214
None,None,Somewhat Sensitive,True,Express,215
High,Medium,Not Sensitive,True,No Preference,216
None,High,Not Sensitive,False,Standard,217
None,None,Not Sensitive,True,Express,218
High,Low,Not Sensitive,False,Express,219
Low,Low,Somewhat Sensitive,True,No Preference,220
Low,Medium,Somewhat Sensitive,False,Standard,221
None,None,Somewhat Sensitive,False,Standard,222
High,Low,Very Sensitive,True,Standard,223
Medium,None,Somewhat Sensitive,False,No Preference,224
Low,Low,Very Sensitive,True,Express,225
None,Low,Somewhat Sensitive,False,Standard,226
Medium,Medium,Not Sensitive,True,No Preference,227
High,High,Very Sensitive,False,Express,228
Low,None,Somewhat Sensitive,True,Express,229
High,High,Very Sensitive,False,No Preference,230
None,Low,Very Sensitive,True,No Preference,231
Low,Medium,Somewhat Sensitive,False,Express,232
None,None,Very Sensitive,True,No Preference,233
Low,None,Somewhat Sensitive,False,No Preference,234
High,High,Somewhat Sensitive,False,No Preference,235
Low,High,Very Sensitive,True,Standard,236
Medium,Medium,Somewhat Sensitive,True,Express,237
High,None,Somewhat Sensitive,False,Express,238
Medium,None,Not Sensitive,False,Express,239
High,None,Not Sensitive,True,No Preference,240
Low,Low,Somewhat Sensitive,True,Express,241
Low,None,Not Sensitive,False,Express,242
High,Medium,Not Sensitive,False,No Preference,243
Low,Medium,Somewhat Sensitive,True,Express,244
Medium,None,Very Sensitive,True,Express,245
Low,High,Very Sensitive,False,No Preference,246
Low,Medium,Not Sensitive,True,Express,247
High,Medium,Somewhat Sensitive,True,Standard,248
None,Medium,Very Sensitive,True,No Preference,249
High,None,Not Sensitive,True,Standard,250
Low,Low,Somewhat Sensitive,False,No Preference,251
None,None,Somewhat Sensitive,False,No Preference,252
Medium,High,Not Sensitive,True,No Preference,253
Low,Medium,Somewhat Sensitive,True,Standard,254
High,None,Very Sensitive,False,Standard,255
None,Medium,Not Sensitive,True,No Preference,256
Low,Low,Very Sensitive,False,Express,257
Low,High,Not Sensitive,False,Express,258
Medium,Low,Very Sensitive,True,Express,259
Low,Medium,Very Sensitive,False,Express,260
Medium,Medium,Very Sensitive,True,No Preference,261
None,Low,Not Sensitive,True,Express,262
None,None,Somewhat Sensitive,False,Express,263
High,None,Not Sensitive,False,Standard,264
None,None,Not Sensitive,True,Standard,265
Medium,Medium,Very Sensitive,False,Standard,266
Medium,Low,Not Sensitive,True,No Preference,267
High,High,Very Sensitive,True,No Preference,268
Low,Low,Somewhat Sensitive,False,Express,269
Medium,High,Very Sensitive,False,Express,270
Low,High,Very Sensitive,True,Express,271
High,None,Very Sensitive,False,No Preference,272
Low,Medium,Not Sensitive,True,No Preference,273
Low,None,Somewhat Sensitive,False,Standard,274
Medium,None,Not Sensitive,False,Standard,275
None,Low,Not Sensitive,True,No Preference,276
Medium,Medium,Not Sensitive,False,Express,277
