orderId,customerId,dishName,restaurantName,quantity,price,paymentMethod,orderFrequency,lastOrderDate,loyaltyPoints,churned,rating,ratingDate,deliveryStatus,city,orderDate,signupDate
O8748,C4748,Sandwich,Subway,5,909.48,Wallet,3,2025-07-28,224,Inactive,,2025-05-25,Cancelled,Peshawar,2023-08-26,2024-03-10
O6827,C2827,Sandwich,Pizza Hut,3,192.88,Wallet,26,2025-06-03,18,Active,,2025-01-13,Cancelled,Multan,2023-08-26,2025-03-05
O7338,C3338,Burger,McDonald's,2,1471.81,Wallet,25,2024-12-27,444,Active,3.0,2025-06-14,Delivered,Lahore,2023-08-26,2023-12-04
O5614,C1614,Pizza,Subway,1,956.03,Card,39,2025-04-19,167,Inactive,5.0,2025-01-04,Delivered,Lahore,2023-08-26,2023-12-31
O8382,C4382,Pizza,Pizza Hut,3,222.14,Wallet,4,2025-03-25,148,Inactive,2.0,2025-01-01,Delayed,Multan,2023-08-27,2025-01-20
O5827,C1827,Pasta,Burger King,2,522.0,Cash,12,2025-03-30,246,Inactive,3.0,2024-09-20,Delayed,Lahore,2023-08-27,2024-05-24
O9009,C5009,Pizza,Pizza Hut,3,795.3,Card,15,2025-06-02,179,Inactive,4.0,2025-01-13,Delayed,Islamabad,2023-08-27,2024-03-25
O7152,C3152,Burger,Subway,3,768.49,Wallet,40,2024-12-23,495,Inactive,5.0,2025-01-06,Delivered,Multan,2023-08-27,2024-02-26
O8729,C4729,Fries,KFC,2,198.12,Card,7,2025-01-31,13,Inactive,,2025-06-27,Cancelled,Multan,2023-08-27,2025-07-18
O9046,C5046,Fries,KFC,1,196.28,Card,22,2025-08-17,378,Inactive,4.0,2025-03-04,Delivered,Islamabad,2023-08-27,2024-08-15
O7588,C3588,Burger,Subway,1,364.91,Card,1,2025-05-06,98,Active,5.0,2025-08-18,Delayed,Lahore,2023-08-27,2024-01-07
O7247,C3247,Sandwich,McDonald's,5,275.53,Cash,7,2024-12-06,138,Active,2.0,2025-06-22,Delivered,Multan,2023-08-27,2023-11-27
O6454,C2454,Pizza,KFC,1,249.9,Cash,20,2025-03-22,70,Inactive,1.0,2025-07-20,Delayed,Karachi,2023-08-27,2023-12-04
O8046,C4046,Sandwich,Subway,4,1226.08,Cash,32,2025-02-06,372,Active,4.0,2025-06-18,Delivered,Karachi,2023-08-27,2024-11-10
O10194,C6194,Fries,Subway,3,1120.65,Card,46,2024-12-02,453,Active,,2025-08-19,Cancelled,Lahore,2023-08-28,2023-10-09
O9845,C5845,Sandwich,Subway,3,1056.2,Card,26,2024-10-14,116,Active,,2025-02-16,Cancelled,Multan,2023-08-28,2024-11-07
O10804,C6804,Burger,Burger King,3,931.02,Wallet,30,2025-07-10,211,Inactive,3.0,2025-03-18,Delayed,Peshawar,2023-08-28,2025-01-16
O5490,C1490,Pizza,Pizza Hut,2,1431.45,Wallet,15,2025-05-04,190,Inactive,,2024-10-08,Cancelled,Lahore,2023-08-28,2024-12-02
O8203,C4203,Pizza,KFC,5,167.62,Card,13,2024-09-08,388,Active,4.0,2024-11-07,Delivered,Multan,2023-08-28,2024-04-17
O10818,C6818,Pasta,Subway,2,118.82,Card,12,2025-05-10,87,Active,,2024-09-14,Cancelled,Islamabad,2023-08-28,2024-10-22
O6583,C2583,Pasta,Pizza Hut,1,492.46,Cash,10,2025-01-16,383,Active,1.0,2024-09-09,Delivered,Karachi,2023-08-29,2024-08-10
O5891,C1891,Pasta,Pizza Hut,5,1275.96,Card,28,2024-11-09,312,Inactive,2.0,2024-12-29,Delivered,Multan,2023-08-29,2023-11-28
O5972,C1972,Sandwich,McDonald's,1,1462.99,Wallet,36,2025-03-26,316,Inactive,,2024-11-30,Cancelled,Multan,2023-08-29,2024-06-03
O9895,C5895,Pasta,McDonald's,2,1221.24,Cash,13,2025-02-12,286,Active,,2025-03-15,Cancelled,Karachi,2023-08-29,2025-02-19
O9179,C5179,Pasta,McDonald's,1,1033.71,Card,47,2024-08-30,4,Active,2.0,2024-12-24,Delivered,Multan,2023-08-29,2023-09-03
O7147,C3147,Pizza,Burger King,4,299.44,Cash,27,2025-02-06,480,Inactive,3.0,2024-12-01,Delivered,Islamabad,2023-08-30,2024-10-30
O7256,C3256,Pasta,Pizza Hut,3,1310.72,Wallet,41,2025-08-07,47,Active,,2024-11-20,Cancelled,Islamabad,2023-08-30,2024-07-06
O7011,C3011,Pizza,KFC,4,343.94,Cash,20,2025-01-27,389,Active,,2024-11-20,Cancelled,Islamabad,2023-08-30,2025-07-19
O6727,C2727,Pizza,Subway,1,1416.38,Wallet,27,2024-11-05,25,Inactive,,2025-06-28,Cancelled,Karachi,2023-08-30,2024-11-27
O9922,C5922,Fries,Pizza Hut,3,622.55,Cash,32,2024-08-26,92,Active,3.0,2025-05-15,Delayed,Islamabad,2023-08-30,2024-08-03
O7797,C3797,Burger,Burger King,3,266.63,Wallet,13,2024-09-14,429,Active,,2025-05-25,Cancelled,Islamabad,2023-08-30,2024-05-08
O9286,C5286,Fries,KFC,4,1052.03,Cash,44,2025-04-16,107,Inactive,4.0,2025-03-12,Delivered,Peshawar,2023-08-30,2025-03-09
O7379,C3379,Burger,McDonald's,3,519.94,Card,30,2024-10-08,195,Active,1.0,2025-02-08,Delivered,Peshawar,2023-08-30,2023-12-19
O8465,C4465,Pizza,Burger King,2,1296.57,Card,16,2024-12-13,31,Inactive,,2025-03-13,Cancelled,Islamabad,2023-08-30,2025-01-22
O8554,C4554,Sandwich,Subway,5,575.25,Card,8,2025-04-15,168,Active,,2025-05-06,Cancelled,Lahore,2023-08-31,2024-06-20
O5842,C1842,Pasta,Pizza Hut,3,1487.08,Cash,2,2024-09-17,205,Active,5.0,2024-09-13,Delivered,Lahore,2023-08-31,2025-04-27
O5557,C1557,Pizza,Burger King,1,1071.22,Cash,5,2025-06-15,56,Inactive,5.0,2024-10-11,Delivered,Peshawar,2023-08-31,2024-01-11
O10668,C6668,Burger,Pizza Hut,2,181.27,Cash,12,2024-08-28,364,Inactive,,2024-11-20,Cancelled,Lahore,2023-08-31,2024-10-14
O10686,C6686,Burger,KFC,1,397.47,Wallet,5,2025-04-12,180,Active,,2025-06-10,Cancelled,Peshawar,2023-08-31,2024-08-11
O7239,C3239,Fries,Pizza Hut,5,1475.86,Card,13,2025-07-13,59,Active,,2025-02-09,Cancelled,Lahore,2023-08-31,2023-09-13
O5207,C1207,Pizza,McDonald's,4,1143.99,Wallet,26,2024-09-26,323,Inactive,4.0,2025-03-24,Delivered,Peshawar,2023-08-31,2023-09-23
O10466,C6466,Fries,KFC,1,1492.84,Wallet,50,2025-03-28,423,Active,,2025-02-09,Cancelled,Islamabad,2023-08-31,2024-02-14
O10687,C6687,Pasta,KFC,3,101.29,Wallet,28,2025-01-17,468,Inactive,3.0,2025-02-07,Delivered,Islamabad,2023-09-01,2025-06-10
O7210,C3210,Pasta,Burger King,2,528.24,Cash,24,2025-02-08,149,Inactive,4.0,2024-08-24,Delayed,Karachi,2023-09-01,2025-06-05
O6375,C2375,Burger,McDonald's,3,716.53,Card,3,2025-02-20,432,Inactive,,2024-09-17,Cancelled,Peshawar,2023-09-01,2023-11-17
O7484,C3484,Pasta,Subway,3,1135.18,Cash,2,2024-10-01,113,Active,,2024-11-29,Cancelled,Peshawar,2023-09-01,2025-08-02
O7775,C3775,Fries,Burger King,2,388.86,Cash,31,2024-09-01,39,Inactive,,2024-10-05,Cancelled,Multan,2023-09-01,2024-12-29
O9566,C5566,Pasta,Subway,5,362.35,Cash,23,2025-02-28,309,Active,5.0,2025-01-03,Delayed,Islamabad,2023-09-01,2024-03-25
O7733,C3733,Sandwich,Burger King,4,172.76,Wallet,23,2025-05-18,356,Inactive,5.0,2025-01-25,Delivered,Multan,2023-09-01,2024-12-18
O9134,C5134,Sandwich,Burger King,3,184.12,Card,41,2025-02-23,491,Inactive,,2025-02-02,Cancelled,Lahore,2023-09-02,2025-05-02
O8670,C4670,Fries,Pizza Hut,3,124.6,Card,26,2025-05-06,297,Inactive,,2024-11-28,Cancelled,Peshawar,2023-09-02,2024-08-23
O6760,C2760,Pizza,McDonald's,4,664.08,Cash,20,2025-04-10,354,Inactive,,2025-04-09,Cancelled,Lahore,2023-09-02,2025-07-26
O10071,C6071,Pizza,Pizza Hut,1,1465.02,Card,45,2025-07-04,420,Active,1.0,2025-02-20,Delivered,Peshawar,2023-09-02,2024-01-23
O9186,C5186,Pizza,Subway,2,158.21,Cash,8,2024-12-27,321,Active,3.0,2025-02-12,Delayed,Peshawar,2023-09-02,2023-10-27
O7464,C3464,Pizza,Pizza Hut,2,949.78,Card,46,2025-04-14,435,Active,,2025-08-14,Cancelled,Peshawar,2023-09-02,2024-06-11
O9340,C5340,Pasta,McDonald's,1,1047.07,Wallet,50,2025-01-29,328,Inactive,2.0,2024-09-01,Delayed,Peshawar,2023-09-02,2024-05-09
O9353,C5353,Pizza,KFC,2,1491.88,Cash,44,2025-03-12,330,Active,5.0,2024-09-07,Delayed,Islamabad,2023-09-02,2025-05-25
O10843,C6843,Pizza,KFC,4,1014.28,Card,41,2025-07-22,0,Active,1.0,2025-01-23,Delivered,Multan,2023-09-02,2025-04-10
O9132,C5132,Burger,Subway,2,941.02,Wallet,5,2025-07-18,468,Active,1.0,2025-02-27,Delivered,Lahore,2023-09-02,2024-09-13
O6398,C2398,Pasta,Subway,1,1187.79,Cash,41,2025-07-05,22,Inactive,,2024-12-13,Cancelled,Islamabad,2023-09-03,2023-12-29
O9122,C5122,Pizza,McDonald's,3,1201.49,Cash,37,2025-04-30,293,Active,1.0,2024-11-30,Delayed,Multan,2023-09-03,2025-03-30
O10532,C6532,Pizza,Pizza Hut,4,579.72,Wallet,40,2025-07-14,170,Inactive,3.0,2025-02-06,Delayed,Islamabad,2023-09-03,2024-03-15
O5833,C1833,Burger,KFC,4,599.35,Cash,3,2025-04-08,322,Inactive,,2025-01-15,Cancelled,Peshawar,2023-09-03,2025-06-06
O6040,C2040,Pasta,Burger King,4,1418.27,Wallet,14,2025-05-18,291,Inactive,,2025-02-10,Cancelled,Peshawar,2023-09-03,2024-02-07
O6631,C2631,Pasta,Subway,2,1174.62,Card,50,2025-02-11,64,Active,,2025-03-24,Cancelled,Lahore,2023-09-03,2024-11-08
O7877,C3877,Fries,KFC,4,213.52,Cash,50,2025-01-22,24,Active,,2024-12-14,Cancelled,Islamabad,2023-09-03,2024-10-22
O8158,C4158,Fries,KFC,3,566.9,Wallet,22,2025-03-27,387,Active,,2025-02-22,Cancelled,Islamabad,2023-09-04,2024-04-27
O7705,C3705,Pasta,Burger King,3,881.71,Wallet,16,2025-06-25,26,Active,,2024-11-20,Cancelled,Lahore,2023-09-04,2024-05-15
O9223,C5223,Fries,Subway,3,1142.45,Wallet,9,2024-09-08,397,Inactive,1.0,2025-03-20,Delayed,Multan,2023-09-04,2023-11-01
O8259,C4259,Fries,McDonald's,3,734.85,Card,48,2024-09-21,245,Active,4.0,2024-10-17,Delivered,Islamabad,2023-09-04,2024-12-28
O8636,C4636,Pasta,Subway,4,1303.08,Wallet,19,2025-07-09,62,Active,1.0,2025-04-08,Delayed,Lahore,2023-09-04,2024-01-27
O7087,C3087,Pizza,Subway,2,526.39,Wallet,7,2025-06-22,83,Inactive,1.0,2025-04-04,Delayed,Peshawar,2023-09-04,2025-05-05
O10268,C6268,Sandwich,Pizza Hut,3,897.81,Cash,15,2025-08-14,193,Active,,2025-06-19,Cancelled,Islamabad,2023-09-04,2024-02-11
O5434,C1434,Burger,Subway,4,949.24,Card,21,2025-06-15,264,Active,,2024-11-21,Cancelled,Multan,2023-09-05,2024-03-16
O7992,C3992,Fries,Subway,5,904.16,Card,10,2025-02-20,118,Inactive,4.0,2025-02-03,Delayed,Lahore,2023-09-05,2024-07-21
O8725,C4725,Pizza,Subway,4,321.23,Wallet,32,2025-03-17,145,Inactive,2.0,2025-06-06,Delivered,Islamabad,2023-09-05,2023-12-10
O7703,C3703,Fries,McDonald's,4,1071.49,Card,39,2025-06-04,1,Active,2.0,2025-02-15,Delayed,Multan,2023-09-05,2024-10-30
O5727,C1727,Fries,Burger King,3,465.28,Wallet,4,2025-06-06,71,Active,4.0,2025-06-15,Delivered,Multan,2023-09-05,2023-08-26
O6154,C2154,Pizza,Pizza Hut,3,141.58,Wallet,30,2024-09-05,363,Active,2.0,2025-04-27,Delivered,Peshawar,2023-09-05,2024-11-13
O10419,C6419,Pizza,Pizza Hut,5,699.7,Cash,20,2024-09-16,183,Active,3.0,2025-07-24,Delivered,Peshawar,2023-09-05,2025-04-12
O10318,C6318,Sandwich,McDonald's,3,1428.01,Cash,50,2024-10-10,185,Active,,2025-05-21,Cancelled,Islamabad,2023-09-06,2025-01-17
O9633,C5633,Fries,KFC,5,218.68,Wallet,26,2024-12-07,249,Active,4.0,2025-03-10,Delivered,Lahore,2023-09-06,2025-05-20
O9834,C5834,Burger,Pizza Hut,4,395.88,Card,37,2024-11-11,113,Inactive,3.0,2025-04-16,Delayed,Multan,2023-09-06,2023-10-06
O5356,C1356,Sandwich,Burger King,2,235.82,Wallet,28,2025-08-16,452,Inactive,1.0,2024-08-25,Delayed,Islamabad,2023-09-06,2024-10-13
O10282,C6282,Sandwich,KFC,5,626.86,Card,47,2025-03-28,117,Inactive,4.0,2025-03-21,Delayed,Lahore,2023-09-06,2024-03-18
O7241,C3241,Fries,McDonald's,3,667.31,Cash,22,2024-12-29,375,Active,3.0,2024-09-15,Delivered,Peshawar,2023-09-06,2025-08-10
O8303,C4303,Sandwich,KFC,2,893.55,Cash,17,2024-10-21,497,Inactive,3.0,2024-11-20,Delayed,Multan,2023-09-06,2024-12-18
O10640,C6640,Pasta,Subway,1,368.03,Cash,25,2024-12-19,83,Inactive,4.0,2024-12-21,Delayed,Karachi,2023-09-06,2025-01-31
O5410,C1410,Fries,KFC,1,708.22,Cash,39,2025-01-19,441,Active,5.0,2024-09-12,Delayed,Karachi,2023-09-07,2025-04-06
O6514,C2514,Burger,Burger King,3,892.81,Cash,25,2025-07-02,335,Inactive,,2025-02-20,Cancelled,Multan,2023-09-07,2024-08-10
O9399,C5399,Burger,Burger King,4,1043.78,Card,6,2025-04-15,114,Active,2.0,2025-06-05,Delayed,Lahore,2023-09-07,2024-04-12
O9621,C5621,Fries,Burger King,5,162.05,Wallet,27,2025-01-24,271,Inactive,,2025-06-09,Cancelled,Islamabad,2023-09-07,2025-05-28
O6832,C2832,Pasta,McDonald's,4,792.08,Card,19,2024-09-21,296,Inactive,4.0,2024-09-13,Delivered,Peshawar,2023-09-07,2024-07-03
O10876,C6876,Pasta,KFC,5,1356.66,Card,30,2024-11-13,470,Inactive,,2024-11-07,Cancelled,Islamabad,2023-09-07,2025-02-06
O5577,C1577,Pizza,KFC,1,820.53,Card,18,2025-05-24,402,Inactive,1.0,2025-08-21,Delivered,Karachi,2023-09-07,2024-08-19
O9668,C5668,Burger,KFC,2,1115.36,Card,9,2024-10-20,294,Active,2.0,2025-04-30,Delayed,Multan,2023-09-07,2025-06-27
O5370,C1370,Pasta,KFC,3,1186.98,Card,11,2025-04-12,134,Inactive,,2025-07-08,Cancelled,Lahore,2023-09-07,2025-04-27
O9722,C5722,Fries,Burger King,2,1215.67,Wallet,8,2025-06-29,186,Inactive,4.0,2024-12-27,Delivered,Multan,2023-09-07,2025-06-26
O10273,C6273,Pizza,Burger King,2,614.0,Card,21,2025-03-05,52,Active,,2024-11-05,Cancelled,Peshawar,2023-09-07,2025-05-17
O7949,C3949,Sandwich,Burger King,2,212.59,Cash,26,2025-06-26,302,Active,1.0,2024-09-20,Delivered,Peshawar,2023-09-08,2024-10-18
O5847,C1847,Fries,Subway,3,1097.28,Card,20,2024-09-22,22,Active,5.0,2024-11-30,Delayed,Lahore,2023-09-08,2024-03-01
O10999,C6999,Sandwich,Subway,2,1033.59,Card,1,2025-01-16,255,Active,1.0,2024-10-06,Delayed,Multan,2023-09-08,2024-05-16
O7717,C3717,Burger,Burger King,4,466.04,Cash,27,2024-09-25,169,Inactive,,2025-04-10,Cancelled,Islamabad,2023-09-09,2024-07-01
O10796,C6796,Burger,KFC,2,724.91,Cash,18,2024-12-04,438,Inactive,,2025-03-23,Cancelled,Lahore,2023-09-09,2024-02-27
O5799,C1799,Burger,Burger King,3,1128.96,Card,12,2025-08-17,487,Active,,2025-05-13,Cancelled,Multan,2023-09-09,2025-02-22
O7815,C3815,Fries,Pizza Hut,5,122.84,Cash,43,2025-05-24,104,Active,5.0,2025-03-29,Delivered,Karachi,2023-09-09,2025-04-07
O9637,C5637,Fries,Subway,3,440.0,Wallet,11,2024-12-23,497,Active,3.0,2025-01-13,Delivered,Lahore,2023-09-09,2023-11-29
O6045,C2045,Sandwich,Burger King,2,1207.62,Wallet,46,2025-02-22,91,Active,2.0,2025-03-13,Delivered,Karachi,2023-09-09,2024-06-22
O8628,C4628,Pizza,McDonald's,3,1147.65,Wallet,45,2025-04-15,353,Active,4.0,2024-12-12,Delivered,Peshawar,2023-09-09,2025-03-20
O8407,C4407,Sandwich,Pizza Hut,5,1203.99,Wallet,1,2025-04-17,106,Inactive,4.0,2025-07-02,Delayed,Peshawar,2023-09-09,2023-08-31
O9061,C5061,Burger,McDonald's,2,1417.09,Card,46,2025-01-01,355,Active,,2025-03-05,Cancelled,Karachi,2023-09-09,2024-06-30
O8423,C4423,Fries,Pizza Hut,5,1010.15,Cash,25,2025-03-08,461,Active,,2025-07-16,Cancelled,Karachi,2023-09-09,2024-06-21
O6522,C2522,Sandwich,KFC,4,589.82,Cash,28,2024-12-11,162,Inactive,2.0,2025-08-07,Delivered,Peshawar,2023-09-10,2025-03-25
O6161,C2161,Pizza,KFC,1,394.08,Card,1,2025-02-06,169,Inactive,4.0,2024-12-14,Delayed,Karachi,2023-09-10,2025-01-20
O6167,C2167,Sandwich,McDonald's,4,1460.35,Card,9,2025-04-19,315,Active,,2025-01-25,Cancelled,Multan,2023-09-10,2025-01-30
O9088,C5088,Pasta,Subway,5,1397.42,Card,18,2024-08-27,36,Active,,2025-03-11,Cancelled,Lahore,2023-09-10,2023-09-25
O7941,C3941,Sandwich,Burger King,3,257.86,Wallet,47,2025-01-25,327,Inactive,,2025-07-27,Cancelled,Lahore,2023-09-10,2023-10-03
O6536,C2536,Burger,McDonald's,3,882.75,Wallet,16,2025-01-28,13,Active,4.0,2024-10-08,Delayed,Karachi,2023-09-10,2023-12-26
O7321,C3321,Pasta,Burger King,5,689.01,Card,3,2025-03-08,189,Inactive,,2024-12-20,Cancelled,Multan,2023-09-10,2024-05-10
O5075,C1075,Pasta,Subway,2,1452.79,Cash,30,2024-10-06,382,Active,,2025-04-12,Cancelled,Lahore,2023-09-10,2023-09-24
O9413,C5413,Pasta,Subway,3,460.45,Card,40,2024-11-23,4,Active,,2025-05-03,Cancelled,Islamabad,2023-09-10,2024-11-16
O10438,C6438,Pasta,Burger King,3,648.85,Card,36,2025-08-19,289,Inactive,5.0,2025-07-07,Delivered,Lahore,2023-09-10,2025-01-26
O10145,C6145,Fries,Subway,1,512.77,Cash,18,2025-01-01,434,Inactive,,2025-01-14,Cancelled,Multan,2023-09-10,2023-09-30
O10172,C6172,Burger,Burger King,3,1443.13,Card,1,2024-12-04,0,Inactive,1.0,2025-07-16,Delayed,Islamabad,2023-09-11,2025-08-04
O7641,C3641,Sandwich,Burger King,3,191.26,Card,33,2024-09-17,393,Inactive,,2025-05-04,Cancelled,Karachi,2023-09-11,2025-03-06
O7998,C3998,Pasta,Pizza Hut,1,309.02,Card,2,2024-08-31,477,Active,,2025-03-23,Cancelled,Karachi,2023-09-11,2025-07-03
O10266,C6266,Burger,Pizza Hut,3,465.95,Card,38,2024-10-26,275,Inactive,,2024-10-13,Cancelled,Karachi,2023-09-11,2024-07-16
O8699,C4699,Pasta,McDonald's,5,749.95,Card,38,2025-03-04,84,Active,2.0,2024-10-18,Delayed,Islamabad,2023-09-11,2025-06-24
O7956,C3956,Pizza,Pizza Hut,5,365.02,Cash,49,2024-09-25,296,Inactive,,2025-03-27,Cancelled,Lahore,2023-09-11,2025-03-30
O10753,C6753,Sandwich,KFC,5,172.45,Cash,6,2025-01-07,338,Active,,2025-03-13,Cancelled,Multan,2023-09-11,2024-08-24
O5279,C1279,Sandwich,KFC,4,167.37,Cash,24,2025-03-14,442,Inactive,3.0,2025-05-03,Delayed,Karachi,2023-09-11,2025-03-14
O6458,C2458,Fries,Burger King,3,1442.35,Wallet,13,2025-03-07,188,Inactive,1.0,2025-05-06,Delayed,Islamabad,2023-09-11,2024-02-11
O9113,C5113,Pizza,Burger King,5,1381.09,Wallet,23,2025-04-14,193,Inactive,1.0,2025-07-10,Delivered,Peshawar,2023-09-11,2025-02-21
O5800,C1800,Burger,KFC,4,412.61,Cash,47,2025-06-19,392,Active,2.0,2024-10-02,Delayed,Multan,2023-09-11,2024-10-31
O7333,C3333,Burger,McDonald's,5,819.6,Cash,47,2024-11-20,317,Inactive,3.0,2025-02-27,Delivered,Lahore,2023-09-11,2023-12-25
O10015,C6015,Pasta,Burger King,1,1423.77,Wallet,24,2025-01-30,197,Inactive,,2025-07-03,Cancelled,Islamabad,2023-09-11,2025-06-06
O6280,C2280,Burger,McDonald's,1,739.3,Cash,14,2024-10-29,481,Inactive,,2024-11-29,Cancelled,Karachi,2023-09-11,2024-10-05
O9166,C5166,Pasta,McDonald's,3,898.92,Cash,27,2024-12-31,169,Active,3.0,2024-11-29,Delivered,Karachi,2023-09-11,2024-06-29
O7672,C3672,Sandwich,McDonald's,1,1394.3,Cash,16,2025-07-06,288,Inactive,,2025-03-23,Cancelled,Karachi,2023-09-12,2023-11-22
O5043,C1043,Pizza,Pizza Hut,1,664.72,Card,11,2025-01-07,356,Inactive,2.0,2025-06-06,Delayed,Multan,2023-09-12,2025-07-02
O8592,C4592,Sandwich,KFC,1,1064.71,Card,12,2025-08-13,41,Active,4.0,2024-12-26,Delivered,Peshawar,2023-09-12,2023-08-24
O9410,C5410,Sandwich,Burger King,2,1217.64,Cash,27,2025-03-01,115,Active,4.0,2025-05-29,Delayed,Multan,2023-09-12,2024-01-13
